dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_service/10S/short,t0-beta,2288.817777777778,2288.817777777778,18.585325727513226,0.6931536125779871,0.052741912357390876,0.045087793743799606,5.2989706049112595,47.84159046037013,0.035442579670245715,0.013768603456870919,0.010853645548895619,Web/CloudOps,2
bizitobs_service/10S/medium,t0-beta,4760.609523809524,4760.609523809524,27.494174107142857,0.9389641252363723,0.058761838882688495,0.05250329880487351,9.790617221178156,68.99717040436893,0.05192889637221993,0.020692763336265577,0.020680296754785485,Web/CloudOps,2
bizitobs_service/10S/long,t0-beta,125667.51492063492,125667.51492063492,72.37679232804233,1.2461147357989166,0.07415491820643187,0.07234849072007275,16.50189832183001,354.4961423212316,0.26262207518838016,0.05361904158450553,0.04862343071987548,Web/CloudOps,2
bizitobs_l2c/5T/short,t0-beta,18.812387230282738,18.812387230282738,2.5068882533482144,0.26018892547233746,0.13541227462896066,0.2020866938999721,2.064395457267042,4.337324893327999,0.1489612930031274,0.08609668973784715,0.06877651602187697,Web/CloudOps,7
bizitobs_l2c/5T/medium,t0-beta,125.26926020408163,125.26926020408163,6.88319781037415,0.6700607721753795,0.4296834074909286,0.7907660867081208,3.5967151401953315,11.192375092181356,0.5888835208524063,0.36215742663309086,0.2644455374516615,Web/CloudOps,7
bizitobs_l2c/5T/long,t0-beta,178.7229365079365,178.7229365079365,8.200788690476191,0.7776625097374521,0.552298698296684,0.9648466176835317,5.184125958983361,13.368729801590595,0.7506341920723558,0.460462024769122,0.35006741311422346,Web/CloudOps,7
bitbrains_fast_storage/5T/short,t0-beta,1935799.4532629445,1935799.4532629445,160.07010866266643,0.647917742397361,1.8734827329001214,0.7261284859618096,12.750106249475424,1391.3301021910452,4.36843247708542,0.5025805595605296,0.39797178750152906,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,t0-beta,2808844.7294187206,2808844.7294187206,258.15209148282554,0.9722758922344162,2.690548025795267,0.8130518186262391,20.69473975401464,1675.9608376745325,5.09203220081142,0.7843373979796058,0.6284936905513852,Web/CloudOps,2
bitbrains_fast_storage/5T/long,t0-beta,4651242.065786536,4651242.065786536,388.9218359768184,0.8650361891004692,3.9167490986571973,0.8262860019129069,15.52628454830802,2156.6738431637123,5.699445074077806,1.0278042965494016,0.7007366466916122,Web/CloudOps,2
solar/H/short,t0-beta,237.11167803175823,237.11167803175823,5.808577992940838,0.4457095380520307,1.9455432032441424,1.3468388525559452,2.8432281843053984,15.398431025002457,0.5675913118094166,0.21410612531935355,0.1659878744187483,Energy,1
